name,set,rarity,id,initiative,ability,falvor,unique,mirage,past,artist
"The Storm Tunnel, Lingering Monsoon",AU,Common,219,Water,The engaged Creature with the lowest Speed plays attacks at random.,The scars of war remain long after the battle is over.,,,,
The Storms,AU,Rare,220,Wisdom,"At the beginning of combat, all Creatures gain Air.","""Someone must have carved these statues. So where are they?"" 
—Tiaane",,,,
The Swartbron,AU,Common,221,Fire,The engaged Creature with the lowest Courage fails all Checks on attacks it plays.,Night flows like a river here.,,,,
Vidav's Refectorium,AU,Uncommon,222,Wisdom,"When this becomes the active Location, each player draws two Attack Cards, then discards two Attack Cards.","Though Vidav wants peace, his battle tactics are undeniably the best.",,,,
Silchaw's Mine,FAS,Rare,10,Courage,Attacks that would deal more than 20 damage to Creatures with Earth deal 20 damage instead.,"Since Aszil opened the Tremor Gate, the very bedrock of Silchaw's mine has gone mad!",,,,
The Flame Gate,FAS,Common,12,Fire,All attacks count as Fire attacks.,"""Maybe we should look for another way in."" 
—Mezzmarr",,,,
"Carnival of Confusion, The Entangled Throne",OP1,Promo,82,Speed,"When an attack is played, flip a coin. If heads, that attack deals double damage. If tails, that attack deals 0 damage.",Here your fate rests with your fortune.,,,,
Castle PIllar,OP1,Ultra Rare,18,Courage,"At the beginning of combat, if an engaged creature has higher Wisdom than the opposing engaged creature, it gains a Mugic counter","It's rumored that the most vicious creature in Perim is imprisoned here, but only Chaor truly knows.",1,,,
Fear Valley,OP1,Uncommon,19,Wisdom,"At the beginning of combat, if an engaged Creature has lower Courage than the opposing engaged Creature, it loses 10 Energy.","No matter how far you run, you can never escape a nightmare.",,,,
Kiru City,OP1,Rare,20,Wisdom,OverWorld Creatures have an additional 10 Energy.,"""We will rebuild our home on the ruins of Old Kiru. The UnderWorlders may have destroyed our city, but they can never destroy our spirit!"" 
—Maxxor",,,,
Annex of the Arcane,LR,Common,19,Wisdom,"At the beginning of combat, flip a coin. If heads, your engaged Creature gains a Mugic counter. If tails, the opposing engaged Creature gains a Mugic counter.
Creatures with one or more Mugic counters have an additional 10 Energy.",,,,,
Khybon's Scrapyard,LR,Uncommon,20,Power,"When a Battlegear is put into a discard pile, put a Scrap counter on Khybon's Scrapyard. Then, if it has 3 or more Scrap counters, return up to 1 Battlegear from your discard pile to play equipped to an unequipped Creature you control and your opponent reveals a new active Location.",,,,,
"The Storm Tunnel, Flooding",SAS,Unavailable,0,Licence,,"The air drowns, the sky cries, the winds cease, the hope dies.",,,,
Glacier Plains,LR,Super Rare,0,Power,UnderWorld Mugic Costs 1 additional Mugic Counter to play.,"This frozen, remote region is home to Blügon and other frosty Creatures.",,,,
