name,set,rarity,id,tribe,courage,power,wisdom,speed,energy,mugic,elements,types,ability,flavor,brainwashed,unique,loyal,legendary,artist,gender
Drimesse,SS,Common,23,Mipedian,30,30,60,40,45,2,,Conjuror,"Reduce Recklessness damage dealt to Warbeasts you control by 10.
If Drimesse has no Mugic counters, sacrifice it.","""Stop this madness! Haven't you learned from your mistakes?!"" 
—Sobtjek",,,,,,Male
Enre-hep,SS,Ultra Rare,24,Mipedian,50,20,80,50,50,1,,Muge,"When a Creature you control is put into your discard pile from play, Enre‐hep gains a Mugic counter for each Mugic counter on that Creature.
{{MC}}: Target Creature gains ""Recklessness 5"".",,,1,1,,,Male
Ere,SS,Common,25,Mipedian,50,75,20,100,50,0,Air,Warbeast,"Range
Swift 4
Recklessness 10 ","Born of sand and storm, Ere can traverse the Mipedim Desert in mere seconds.",,,1,,,Ambiguous
Fivarth,SS,Super Rare,26,Mipedian,15,15,15,15,15,2,,Conjuror,"Reduce Recklessness damage dealt to Warbeasts you control by 5.
Fivarth may not be the target of Mugic or abilities.","""Our so-called 'leaders' have failed us. Now we must control our own destiny!"" 
—Fivarth",,,,,,Male
Gnarlus,SS,Super Rare,27,Mipedian,50,30,30,65,45,2,,Warrior,"Damage dealt to Gnarlus by Mugic is reduced to 0.
{{MC}}{{MC}}: Damage dealt to target Creature by Mugic is reduced to 0.",,,,,,,Male
"Hammerdoom Chantcaller, Assimilated",SS,Super Rare,16,Danian,70,40,55,55,55,0,Earth,Mandiblor Warrior,"Hive: Fireproof 10
Attacks played by Hammerdoom Chantcaller deal an additional 5 damage to UnderWorld Creatures.",,,1,1,,,Male
Hifdan,SS,Uncommon,3,OverWorld,50,25,35,35,40,0,"Fire, Earth",Scout,"When a Creature you control gains a Mugic counter, Hifdan gains ""Range"" and ""Swift 2"".","Though feared by many for looking like an UnderWorlder, Hifdan is as loyal to Maxxor as they come.",,,,,,Male
Iparu,SS,Ultra Rare,4,OverWorld,25,25,25,25,50,1,"Fire, Air",Elementalist,"At the beginning of combat, Iparu gains or loses Courage, Power, Wisdom and Speed so those values become equal to the opposing engaged Creature's Scanned Courage, Power, Wisdom and Speed.",,,1,1,,,"Ambiguous, Male"
Kalt,SS,Common,5,OverWorld,55,30,35,40,40,2,Water,Elementalist Muge,"{{MC}}: Another target Creature gains an Elemental Type of your choice. If that Creature is an Elementalist, it also gains a Mugic counter. This ability can only be used once per turn.
",,,,,,,Male
Karraba,SS,Super Rare,6,OverWorld,60,30,40,40,35,3,,Muge,{{MC}}: Heal 10 damage to target Creature for each Mugic counter on Karraba. This ability can only be used once per turn.,,,,,,,Male
"Kinnianne, Ambassador to the Mipedians",SS,Super Rare,7,OverWorld,60,35,65,60,50,2,Earth,Ambassador,"If a Mugic or ability would heal a Mipedian you control, it heals an additional 5 damage.
Kinnianne may play Mipedian Mugic",,,1,,,,Female
"Kolmo, Assimilated",SS,Super Rare,17,Danian,75,70,30,60,60,1,Earth,Mandiblor,"Invisibility: Surprise
While engaged with a Mipedian Royal, Kolmo has ""Invisibility: Strike 20.""
{{MC}}: If Kolmo is not engaged, relocate it to an open space on the Battleboard.",,,1,,,,Male
Kopond,SS,Super Rare,12,UnderWorld,30,15,50,20,20,3,,Muge,{{MC}}: Deal 5 damage to target Creature for each Mugic counter on Kopond. This ability can only be used once per turn. ,,,,,,,Male
Lanker,SS,Uncommon,28,Mipedian,75,50,90,30,30,1,,Warrior,"Lanker loses 5 Energy: Choose Courage, Power, Wisdom, orSpeed. Target Creature gains 15 in the chosen discipline.",,,,,,,Male
Lobanne,SS,Uncommon,18,Danian,35,30,55,35,35,3,,Mandiblor Muge,"{{MC}}: For each Mugic counter on Lobanne, choose ""Fireproof 10,"" ""Airproof 10,"" ""Earthproof 10"" or ""Waterproof 10."" Target Creature gains the chosen abilities. This ability can only be used once per turn.",,,,,,,Male
Makrabon,SS,Common,19,Danian,20,30,50,25,35,2,,Controller,"When Makrabon gains a Mugic counter, Infect target Uninfected Creature.
{{MC}}: Activate or Deactivate Hive",,,,,,,Male
Melke,SS,Common,29,Mipedian,60,30,20,65,40,0,"Air, Earth",Stalker,"Invisibility: Strike 10 
If a Mirage Location is in play, Melke has an additional ""Invisibility: Strike 10.""",Beware when crossing The Hunter's Perimeter. You may become the hunted.,,,,,,Male
Na-inna,SS,Common,30,Mipedian,60,20,50,50,45,1,,Royal,"0{{MC}}: Remove a Mugic counter from target Creature. If you do, put a Mugic counter on another Creature controlled by the same player. This ability can only be used once per turn.",,,,,,,Female
Olkiex,SS,Super Rare,8,OverWorld,40,65,70,30,50,0,Water,Strategist,"When a Creature you control gains a Mugic counter, flip target face-up Battlegear face-down.","Though Bodal takes credit for the repairs, Olkiex loves working for such a ""charismatic"" boss.",,,,,,Male
Phelphor,SS,Super Rare,13,UnderWorld,55,65,60,50,45,1,Water,Conqueror Scout,"At the beginning of your turn, you may relocate target Creature to an open space on the Battleboard adjacent to that Creature.","Everyone wants to know what's behind the Doors, but none more than him.",,,,,,Male
Ranun,SS,Uncommon,31,Mipedian,45,25,55,45,35,2,,Conjuror,"Reduce Recklessness damage dealt to Warbeasts you control by 10.
{{MC}}: Heal 10 damage to target Creature.",I will not rest until both Maxxor and Chaor pay for their treachery!,,,,,,Male
"Raznus, Assimilated",SS,Rare,20,Danian,50,20,75,30,50,1,Water,Mandiblor Ambassador,"{{MC}}: Danians you control may not be the target of Mugic or abilities. This ability can only be used once per turn.

",,,1,,,,Male
Saand,SS,Uncommon,32,Mipedian,50,30,50,75,50,0,Air,Elite,"Invisibility: Surprise
Air 5
At the beginning of your turn, you may sacrifice Saand. If you do, each player removes a total of 3 Mugic counters from among any Creatures they control.
If Saand has any Mugic counters, sacrifice it.",,,,,,,Male
Titanix,SS,Uncommon,33,Mipedian,75,50,20,75,60,0,,Warbeast,"Intimidate: Courage 50
Intimidate: Speed 50
Recklessness 20","""Sobtjek, admit that the rewards far outweigh the risks."" 
—Drimesse",,,1,,,Ambiguous
Uboraan,SS,Rare,34,Mipedian,50,75,20,75,50,0,"Air, Earth",Warbeast,"Fireproof 10 
Waterproof 10 
Recklessness 15",Uboraan is a smallish Warbeast... only about the size of twenty Chaors.,,,1,,,Ambiguous
Viqtarr,SS,Rare,9,OverWorld,75,45,75,35,40,0,"Earth, Water",Strategist,"While Viqtarr has both higher Courage and Wisdom than the opposing engaged Creature, the first attack against it each combat deals 0 damage.",,,,,,,Male
Vyll,SS,Uncommon,14,UnderWorld,55,35,75,30,40,2,,Muge,{{MC}}{{MC}}: Remove a Mugic counter from target Creature.,"As the ""Annihilator of Mugic,"" Vyll prevents the casting of Mugic by targeting the source - the Mugicians themselves.",,,,,,Male
Wytod,SS,Rare,10,OverWorld,50,25,55,30,40,1,,Muge,Sacrifice Wytod: Choose a new target for target Mugic which only targets a single Creature.,"Few Creatures have saved both Maxxor and Najarin's lives. None but Wytod have done so twice!

",,,,,,Male
Xelfe,SS,Rare,35,Mipedian,50,40,35,80,40,3,,Scout,"{{MC}}: Target Creature gains ""Range"" and ""Swift X,"" where X is the number of Mugic counters on Xelfe.",,,,,,,Male
Zapetur,SS,Rare,15,UnderWorld,55,60,25,35,35,0,"Fire, Earth",Commander,"Sacrifice a Battlegear: Deal 5 damage to target Creature. This ability can only be used once per turn.
Sacrifice Zapetur: Destroy target Battlegear.",,,,,,,Male
Accato,MI,Common,1,OverWorld,55,45,70,35,65,1,Fire,Minion Warrior,Support: Wisdom 10,,Outperform Wisdom 5,,,,,Male
Akkrean,MI,Rare,2,OverWorld,40,40,70,45,35,2,Air,Guardian Muge,{{MC}}: Deal 10 damage to target Creature on your side of the Battleboard.,"Rarely to enemies enter his lands, and almost never do they leave unscathed.",,,,,,Male
Alazdan,MI,Rare,43,Mipedian,55,35,65,20,40,2,"Air, Water",Minion Muge,"{{MC}}{{MC}}, Sacrifice Alazdan: Deal 35 damage to target engaged Creature.",,"{{MC}}{{MC}}, Sacrifice Alazdan: Target engaged Creature loses 35 to all Disciplines.",1,,,,Male
Aokua,MI,Rare,15,UnderWorld,100,100,100,100,50,1,,Commander,Exhaust all Disciplines 10,"Aokua was the first to learn that if you can get past the hardened shell, Danians are both nutritious and delicious.",,,,,,Male
Asadab,MI,Common,16,UnderWorld,20,55,55,30,25,2,Water,Minion Muge,{{MC}}: Target Creature gains 15 Power.,,{{MC}}: Deal 5 damage to target Creature and it loses 10 Power.,,,,,Male
Bivike,MI,Super Rare,44,Mipedian,65,50,40,70,50,1,"Air, Earth",Scout,"While engaged with a M'arrillian, Bivike has ""Invisibility: Strike 20.""
While in a space with a Mirage, Bivike's Disciplines can't be raised or lowered.",,,,,,,Male
Bladez,MI,Rare,17,UnderWorld,80,90,35,30,60,0,"Fire, Air",Minion Warrior,"If an Attack Card played by Bladez would deal 0 damage, it deals 15 damage instead.",,"Attacks played by Bladez have ""Opposing engaged Creature loses 10 to all Disciplines.""",,,,,Male
Brimflame,MI,Common,18,UnderWorld,60,90,45,60,60,0,"Fire, Air",Taskmaster Minion,"While equipped, Brimflame has ""Fire 5.""",,Sacrifice a Battlegear equipped to Brimflame: Destroy target Battlegear.,,,,,Male
Chaac,MI,Common,29,Danian,70,40,50,35,45,2,,Squadleader Minion,"Hive: Chaac has an additional 15 Energy.
{{MC}}: Infect target Uninfected Creature.",,{{MC}}: Target Creature loses an Elemental Type of your choice.,,,,,Male
"Dakkamal, Melee Trainer",MI,Uncommon,45,Mipedian,25,20,55,45,30,2,Fire,Elite Minion,"{{MC}}: Target Creature gains ""Invisibility: Strike 10.""",,{{MC}}: Target Creature loses 25 Speed.,,,,,Male
Drazz,MI,Super Rare,30,Danian,80,60,35,20,60,0,"Earth, Water",Mandiblor Minion,"While Infected, Drazz has ""Earth 5.""
Hive: Outperform Courage 5",,Water 5,,,,,Male
Ebberim,MI,Uncommon,46,Mipedian,50,40,45,70,35,1,Earth,Stalker Minion,{{MC}}: Ebberim gains Air.,,{{MC}}: Relocate target opposing unengaged Creature into an unoccupied space adjacent to it.,,,,,Female
Ebena'bakku,MI,Ultra Rare,57,M'arrillian,50,50,50,50,50,0,Water,Chieftain,"While your engaged Creature has more Mugic counters than the opposing engaged Creature, your opponent must play Attack Cards at random.",,,1,1,,,Ambiguous
Erak'tabb,MI,Rare,58,M'arrillian,40,55,85,25,45,0,Water,Chieftain,"Attacks played by Creatures you control have ""Challenge Wisdom 50: Deal 10 damage.""",,,1,1,,,Ambiguous
Fazkaal,MI,Super Rare,47,Mipedian,35,45,50,30,55,1,"Fire, Air",Minion Muge,"When a Mugic counter is removed from the opposing engaged Creature, that Creature loses 20 to all Disciplines.",,"When a Mugic counter is removed from the opposing engaged Creature, Fazkaal gains a Mugic counter.",,,,,Male
"Frafdo, The Hero",MI,Super Rare,3,OverWorld,50,70,90,85,55,0,,Hero Warrior,"While you control no other Creatures, Frafdo has an additional 45 Energy.","""Thirty against one? It hardly seems fair... for you."" 
—Frafdo",,,,,,Male
Gambreor,MI,Uncommon,19,UnderWorld,35,50,45,45,35,2,,Taskmaster Minion,"{{MC}}, Sacrifice a Battlegear: Heal 15 damage to target Creature.",,"{{MC}}, Sacrifice a Battlegear: Heal 10 damage to target Creature and it gains 10 Power.",,,,,Male
Gan'trak,MI,Rare,59,M'arrillian,50,50,50,50,50,0,,Chieftain,"Attacks played by your Creatures reduce the opposing engaged Creature's Disciplines by an amount equal to the damage they would deal instead of dealing damage.
If a Creature has 0 in all Disciplines, destroy it.",,,1,1,,,Ambiguous
Grindaald,MI,Common,4,OverWorld,25,35,60,40,35,2,,Caretaker Minion,{{MC}}: Heal 10 damage to target Creature.,,{{MC}}: Heal 10 damage to target Creature and it loses 10 Wisdom.,,,,,Male
Gronmor,MI,Super Rare,5,OverWorld,75,50,80,50,60,0,"Fire, Earth, Water",Guardian Minion,"Support: All Disciplines 5
Fire 5",,"Support: Energy 5
Outperform Wisdom 5",,,,,Male
Hermatred,MI,Common,31,Danian,85,50,45,30,50,0,Water,Mandiblor Minion,"Outperform Courage 5
Hive: Hermatred has an additional 5 Energy for each Mandiblor you control and each Infected Creature in play.",,"Water 5
While engaged with an Infected Creature, Hermatred has an additional 15 Energy.",,,,,Male
Ihun'kalin,MI,Rare,60,M'arrillian,55,60,40,85,45,0,Water,Chieftain,Discard two Mugic Cards: Destroy target engaged Creature with 0 Speed.,,,1,1,,,Ambiguous
"Ikkatosh, Guardian of Nature",MI,Rare,6,OverWorld,45,35,85,60,55,1,"Fire, Water",Elementalist,"When a Muge or Elementalist you control wins combat, it gains a Mugic counter.","Having lived for ages, Ikkatosh vaguely remembers the last time the Doors were open. It did not end well.",,,1,,,"Ambiguous, Male"
Ilx,MI,Super Rare,20,UnderWorld,60,90,25,35,70,1,Air,Ethereal Conqueror,"Air 5 
Recklessness 5 
While engaged with an unequipped Creature, Ilx has an additional ""Air 5"" and ""Recklessness 5.""",,,,,,,"Ambiguous, Male"
Irrabeq,MI,Uncommon,32,Danian,75,35,50,60,55,1,"Earth, Water",Mandiblor Minion,"Water 5 
Hive: Irrabeq has an additional 10 Energy.",,"While engaged with an Infected Creature, Irrabeq has ""Outperform Courage 5.""",,,,,Male
Issaley,MI,Rare,7,OverWorld,60,50,75,40,55,1,Water,Caretaker Minion,Water 5,,"Opposing Creatures with Water have ""Exhaust all Disciplines 10.""",,,,,Ambiguous
Jumbad,MI,Common,48,Mipedian,30,25,60,75,50,1,Earth,Minion Muge,{{MC}}: Target Creature gains 10 Speed and 10 Wisdom.,,{{MC}}: Target Creature loses 10 Speed and 10 Wisdom.,,,,,Male
Kalanju,MI,Rare,33,Danian,50,35,55,40,40,1,Earth,Squadleader Minion,"{{MC}}: Infect target Uninfected Creature.
Hive: While Infected, Kalanju has an additional 30 Energy.",,"{{MC}}: Infect target Uninfected Creature. 
{{MC}}: Uninfect target Infected Creature.",,,,,"Ambiguous, Male"
Katharaz,MI,Ultra Rare,34,Danian,50,30,45,35,45,2,"Air, Earth, Water",Elementalist,"Hive: Katharaz has ""Elementproof all Elemental Types 15.""","""Unite and fight! If we lose the Reservoir, the rest of Mount Pillar will fall!"" 
—Katharaz",,,,,,Male
"Kileron, Warbeast of the Dust Storm",MI,Ultra Rare,49,Mipedian,40,70,30,70,50,0,"Air, Earth",Warbeast,"Recklessness 25 
Air 5  
Earth 5  
Creatures and Battlegear Cards that would be placed in a discard pile are removed from the game instead.",,,1,1,,,Ambiguous
Klar'nok,MI,Super Rare,61,M'arrillian,30,40,55,80,40,0,Water,Chieftain,Discard a Mugic Card: Target Elemental Attack deals 15 less damage.,,,1,1,,,Ambiguous
Kraade,MI,Common,21,UnderWorld,50,65,40,50,45,1,"Fire, Earth",Minion Scout,Swift 2,,Intimidate: Power 20,,,,,Male
Kreaal,MI,Rare,22,UnderWorld,40,85,15,50,65,1,"Fire, Air",Ethereal Warrior,"UnderWorld Creatures you control have ""Intimidate: Power 20"" and ""Exhaust all Disciplines 5.""",Kreaal cannot be brainwashed because he has no brain to begin with.,,,1,,,"Ambiguous, Male"
Lendai,MI,Rare,35,Danian,80,40,60,40,55,0,"Earth, Water",Squadleader,"While Lendai is Uninfected, it has ""Water 5.""
While Lendai is Infected, it may not be the target of Mugic or abilities.",,,,,,,Male
Lyssta,MI,Ultra Rare,23,UnderWorld,60,80,30,55,60,0,"Air, Earth",Conqueror Warrior,"When Lyssta wins Initiative, it gains ""Outperform Power 10"" and ""Air 10."" ",,,1,,,,Female
Lystone,MI,Common,8,OverWorld,25,30,60,25,30,3,,Minion Muge,{{MC}}{{MC}}: Target Creature gains 30 to all Disciplines.,,{{MC}}: Target Creature gains 10 to all Disciplines.,,,,,Female
"Maliph, Guard of the Palace",MI,Super Rare,50,Mipedian,50,40,35,100,55,0,"Air, Earth",Elite Warrior,"Invisibility: Surprise
Invisibility: Strike 15
When Maliph wins combat, relocate Maliph into an unoccupied space adjacent to it.",,,,,,,Male
Milla'iin,MI,Rare,62,M'arrillian,35,85,65,30,55,0,Water,Chieftain,Discard two Mugic Cards: Destroy target engaged Creature with 0 Power.,,,1,1,,,Ambiguous
Mivindal,MI,Super Rare,36,Danian,65,30,45,40,40,1,Water,Battlemaster Minion,Sacrifice Mivindal: Return target Mandiblor in your discard pile to play in an unoccupied space on your side of the Battleboard.,,"Sacrifice Mivindal: When target Chieftain is destroyed, return it to play in an unoccupied space.",,,,,Male
Mizkio,MI,Uncommon,51,Mipedian,55,45,40,65,45,1,"Air, Earth",Elite Minion,"Invisibility: Surprise
Earth 5",,"Invisibility: Strike 5
Swift 2",,,,,Female
"Nauthilax, Tainted",MI,Super Rare,24,UnderWorld,80,100,40,65,60,0,,Minion Scout,"Exhaust all Disciplines 5 
When Nauthilax wins a Power Challenge, it gains an Elemental Type of your choice.",,"Recklessness 5 
When Nauthilax deals exactly 25 attack damage, destroy target Battlegear. 
Outperform Power 5",,,,,Male
Necrabe,MI,Ultra Rare,37,Danian,100,25,70,35,35,2,Air,Noble,"{{MC}}: Infect target Uninfected Creature.
If a Creature would be returned to play from a discard pile, remove it from the game and Necrabe gains 2 Mugic counters instead.",,,1,,,,Male
Neth'uar,MI,Rare,63,M'arrillian,85,55,45,65,55,0,Water,Chieftain,"Attacks played by Creatures you control have ""Challenge Courage 50: Deal 10 damage.""",,,1,1,,,Ambiguous
Nimmei,MI,Rare,38,Danian,75,45,35,50,50,1,"Air, Earth, Water",Noble,Hive: Nimmei has an additional 5 Energy and 5 to all Disciplines for each Mandiblor you control and each Infected Creature in play.,"Though young and untested, Nimmei's heart more than makes up for years of experience.",,,1,,,Male
Okaxor,MI,Super Rare,9,OverWorld,45,25,75,30,40,3,Water,Caretaker Minion,{{MC}}: Target Creature gains 25 to a Discipline of your choice.,,{{MC}}: Target Mugic or ability cannot increase or decrease any Creature's disciplines.,,,,,Male
Ooloo,MI,Uncommon,25,UnderWorld,40,70,35,40,55,1,"Fire, Air",Minion Warrior,"Air 5
Recklessness 5",,"Outperform Power 5
Exhaust all Disciplines 5",,,,,"Ambiguous, Male"
Owayki,MI,Rare,52,Mipedian,40,50,45,85,60,1,"Fire, Air",Royal,"Mipedians you control with Invisibility have an additional 20 Speed and ""Invisibility: Strike 5.""
Air 5","Neither alive nor dead, the ghost of Hunter's Perimeter haunts the haunted.",,,1,,,Male
Ragetrod,MI,Uncommon,26,UnderWorld,55,75,40,50,55,2,"Fire, Earth",Commander Minion,"Outperform Power 5
Recklessness 5",,{{MC}}: Relocate target opposing unengaged Creature into an unoccupied space adjacent to it.,,,,,Male
"Rarran, Tainted",MI,Rare,27,UnderWorld,30,90,20,85,50,0,Air,Minion Scout,Swift 3,,"If a Creature with Range moves into a space occupied by a Creature you control, Rarran may intercept as though it had Defender and was adjacent.",,,,,Male
Rath'tab,MI,Ultra Rare,64,M'arrillian,60,20,100,40,40,0,Water,Chieftain,Discard a Mugic Card: Remove all Mugic counters on target engaged Creature.,,,1,1,,,"Ambiguous, Male"
Rebant,MI,Common,39,Danian,95,20,65,40,30,3,,Battlemaster Minion Muge,{{MC}}: Activate Hive.,,{{MC}}: Heal 10 damage to target Uninfected Creature.,,,,,Male
Ritzu'dag,MI,Super Rare,65,M'arrillian,50,50,50,50,50,0,Water,Chieftain,"At the beginning of combat, your engaged Creature gains 50 to its lowest Discipline.",,,1,1,,,Ambiguous
Savell,MI,Super Rare,53,Mipedian,25,30,55,60,40,2,Air,Conjuror Minion,Reduce Recklessness damage dealt to Warbeasts you control by 10 for each Mugic counter on Savell.,,Increase Recklessness damage dealt to Warbeasts by 10 for each Mugic counter on Savell.,,,,,Male
Sirri,MI,Common,54,Mipedian,50,50,35,80,50,1,"Air, Earth",Minion Scout,Invisibility: Strike 10,,Outperform Speed 5,,,,,Male
Tabaal,MI,Uncommon,40,Danian,65,30,40,60,40,2,"Air, Water",Mandiblor Minion,{{MC}}: Infect target Uninfected Creature.,,Sacrifice a Mandiblor: Infect up to three target Uninfected Creatures.,,,,,Male
"Tangath Toborn, in Training",MI,Super Rare,10,OverWorld,50,75,85,35,65,2,"Fire, Earth, Water",Hero Warrior,"{{MC}}: Tangath Toborn gains or loses Courage, Power, Wisdom and Speed to make its Disciplines equal to its Scanned Disciplines.",,,,,,,Male
Targubaj,MI,Uncommon,11,OverWorld,45,55,65,50,45,1,Fire,Minion Muge,{{MC}}: Heal 10 damage to target engaged Creature.,,{{MC}}: Relocate target opposing unengaged Creature into an unoccupied space adjacent to it.,,,,,Male
"Tartarek, Psi Overloader",MI,Ultra Rare,12,OverWorld,100,40,100,60,65,2,"Fire, Earth",Hero Minion,"{{MC}}: Target Creature gains 35 Wisdom. 
Discard an OverWorld Mugic Card: Destroy target Chieftain with 100 or more Wisdom. ",,Tartarek may use its normal abilities.,,,,,Male
Tinnoi,MI,Rare,55,Mipedian,40,60,20,60,45,1,Earth,Stalker Minion,Invisibility: Strike 15,,Intimidate: All Disciplines 10,,,,,Male
Tomugar,MI,Super Rare,28,UnderWorld,35,50,60,25,40,2,Air,Minion Muge,{{MC}}: Target Creature gains 25 to a Discipline and loses 10 to another.,,"{{MC}}, Discard a Mugic Card: Target opponent discards a random Mugic Card. Use only once per turn.",1,,,,Male
Trimdaal,MI,Uncommon,13,OverWorld,45,50,80,40,45,1,"Fire, Water",Minion Elementalist,Fire 5,,Water 5,,,,,Male
Uholdan,MI,Uncommon,41,Danian,70,50,40,55,55,2,"Earth, Water",Squadleader Minion,"{{MC}}: Activate Hive.
Hive: Uholdan has an additional 10 Energy.",,{{MC}}: Relocate target opposing unengaged Creature into an unoccupied space adjacent to it.,,,,,Male
Ulmquad,MI,Super Rare,42,Danian,75,50,40,60,55,2,"Air, Water",Battlemaster Minion,{{MC}}: Deal 10 damage to target Creature and Ulmquad gains 10 Energy.,,{{MC}}: Deal 10 damage to target Creature and it loses 20 Courage.,,,,,Male
Wistanne,MI,Common,56,Mipedian,30,45,45,50,40,2,,Minion Muge,{{MC}}: Heal 10 damage to target Creature and it loses 25 Speed.,,"{{MC}}: Heal 15 damage to target adjacent Creature.
Swift 1",,,,,"Ambiguous, Female"
Wrenges,MI,Uncommon,14,OverWorld,30,25,45,40,35,2,,Minion Muge,{{MC}}: Heal 15 damage to target engaged Creature.,,"{{MC}}: Heal 10 damage to target Creature. If that Creature is on your side of the Battleboard, it also gains 10 to all Disciplines.",,,,,Male
Xis'torq,MI,Uncommon,66,M'arrillian,60,50,70,50,45,0,Water,Chieftain,"Creatures you control have ""Elementproof all Elemental Types 10.""",,,1,1,,,Ambiguous
"Aa'une the Oligarch, Projection",ROTO,Ultra Rare,29,M'arrillian,50,50,50,50,50,0,Water,Chieftain,Aa'une the Oligarch starts the game and comes into play with this side face-up.,,,1,1,,,"Ambiguous, Male"
"Aa'une the Oligarch, Avatar",ROTO,Ultra Rare,29,M'arrillian,200,200,200,200,100,0,Water,Chieftain,"Outperform all Disciplines 20
Discard a Mugic Card: Your opponent sacrifices a Creature.",The source of all nightmares is here. The end of Perim is now.,,1,1,,,Ambiguous
Aer'dak,ROTO,Rare,30,M'arrillian,45,60,50,65,55,0,Water,Fluidmorpher,"Fluidmorph
{{MC}}: Target Creature loses Range.
{{MC}}{{MC}}{{MC}}: Deal 20 damage to target Creature with Swift.
10{{MC}}: Destroy all opposing Creatures with Range.",,,,,,,"Ambiguous, Female"
Agrino Jaldar,ROTO,Rare,15,Danian,80,50,40,55,55,1,,Minion Warrior,"Hive: Agrino Jaldar has an additional 5 Energy for each Danian you control.
Agrino Jaldar deals an additional 5 damage to Minions.",,"Agrino Jaldar has an additional 5 Energy for each Minion you control.
Agrino Jaldar deals an additional 5 damage to Infected Creatures.",,,,,Male
Aivenna,ROTO,Super Rare,1,OverWorld,80,50,90,40,70,0,,Hero Warrior,"Outperform Courage 5 
Outperform Wisdom 5 
While you control a Muge, Aivenna has ""Support All Disciplines 5.""",,,1,1,,,Female
Anger'keem,ROTO,Common,31,M'arrillian,35,55,65,35,40,0,Water,Fluidmorpher,"Fluidmorph
4{{MC}}: Target attack deals 25 damage.",,,,,,,"Ambiguous, Male"
Appelai,ROTO,Uncommon,22,Mipedian,50,45,60,35,40,1,,Conjuror,"Reduce Recklessness damage dealt to Warbeasts you control by 10 for each Mugic counter on Appelai.
When a Warbeast you control becomes the target of a Mugic or ability your opponent controls, Appelai gains a Mugic counter.",,,,,,,Male
Arrthoa,ROTO,Rare,2,OverWorld,65,50,65,60,60,0,Fire,Minion Scout,"While an opposing Creature has Water, Arrthoa has ""Range"" and ""Swift 1.""",,"While an opposing Creature has Swift, Arrthoa has ""Defender.""",,,,,Male
"Attacat, Tactical Aid",ROTO,Common,3,OverWorld,60,35,55,100,55,1,"Earth, Water",Strategist Minion,"{{MC}}: Heal 10 damage to target adjacent OverWorld Creature.
Swift 2",,"{{MC}}: Heal 10 damage to target adjacent M'arrillian Creature.
Range, Swift 1",,,,,Male
Aureban,ROTO,Super Rare,16,Danian,80,50,40,55,55,0,Earth,Battlemaster Minion,"Waterproof 10
Hive: Aureban has an additional 10 Energy for each Infected Creature your opponent controls.",,Uninfect an Infected Creature you control: Deactivate Hive.,,,,,Male
"Bahrakatan, The Coralsmith",ROTO,Ultra Rare,32,M'arrillian,60,75,60,50,40,0,Water,Kha'rall,"Battlegear cannot be destroyed by Mugic or abilities. (Battlegear may still be sacrificed or flipped face‐
down.)","Once Bahrakatan forged the shards, Aa'une knew that success was guaranteed.",,1,1,,,"Ambiguous, Male"
Biakan,ROTO,Uncommon,4,OverWorld,55,45,75,40,50,1,"Air, Water",Caretaker Minion,"If an opponent would reveal a new active Location on your turn, instead you reveal a new active Location.",,"When an opposing Creature wins Initiative, reveal the top card of your Location Deck and it becomes the new active Location.",,,,,Ambiguous
Blaaxa,ROTO,Super Rare,8,UnderWorld,30,35,70,45,25,0,,Ethereal Minion,Reveal an Attack Card from your hand: Target Attack with the same name as the revealed card deals 0 damage.,,Reveal a Mugic Card from your hand: Negate target Mugic with the same name as the revealed card.,,,,,"Ambiguous, Female"
Dhilas,ROTO,Uncommon,17,Danian,65,45,60,30,40,2,Water,Noble Muge,"{{MC}}: Heal 10 damage to target Mandiblor.
Hive: Danian Mugic you play which deals damage deals an additional 5 damage.",,,1,,,,Male
Dror'niq,ROTO,Uncommon,33,M'arrillian,40,50,30,20,50,0,Water,Fluidmorpher,"Fluidmorph
{{MC}}: The next time Dror'niq is dealt attack damage, deal 10 damage to the Creature which played that attack.
4{{MC}}: When target Creature is dealt attack damage, deal 10 damage to the Creature which played that attack.",,,,,,,Male
Epitrinne,ROTO,Super Rare,23,Mipedian,70,30,45,95,60,1,"Fire, Earth",Minion Muge,Damage which would be dealt to Epitrinne by Mugic is reduced to 0.,,Damage which would be dealt to Chieftains you control by Mugic is reduced to 0.,,,,,Male
Fal'makin,ROTO,Common,34,M'arrillian,40,55,90,60,50,0,Water,Chieftain,Discard 2 Mugic Cards: Destroy target engaged Creature with 0 Wisdom.,,,1,1,,,Ambiguous
Fla'gamp,ROTO,Super Rare,35,M'arrillian,65,25,45,55,50,0,Water,Fluidmorpher,"Fluidmorph 
{{MC}}: Look at the top card of target player's Location Deck.
{{MC}}: Put the top card of target player's Location Deck on the bottom of that deck.
{{MC}}{{MC}}: Your opponent reveals a new active Location.",,,,,,,"Ambiguous, male"
Fliandar,ROTO,Ultra Rare,18,Danian,85,45,75,35,60,1,"Earth, Water",Squadleader,Uninfect 3 Infected Creatures: Activate Hive and heal all damage on Fliandar.,"Part Squadleader, part Parasite, all Danian.",,,,,,Male
Gimwei,ROTO,Rare,5,OverWorld,70,40,85,35,60,1,"Fire, Air",Minion Elementalist,"Fire 5
When Gimwei is dealt 20 or more damage from a single source, deal 5 damage to target Creature.",,"Outperform Wisdom 5
When Gimwei deals 20 or more damage with a single attack, it gains 20 to all Disciplines",,,,,Male
