name,set,rarity,id,tribe,cost,ability,flavor,unique,past,artist
Ancestral Anthem,AU,Rare,179,Danian,0,"Remove a Creature Card in your general discard pile from the game. If you do, activate Hive.","Resourceful and efficient, Danians recycle everything in order to survive... including corpses!",,,
Anthem of Stone,AU,Common,163,Generic,1,"Target Creature gains Earth. If that Creature already has Earth, it gains ""Earth 5"" instead.","The earth split, toppling the towers, erasing the castle from memory.",,,
Battlesong of Depletion,AU,Common,174,UnderWorld,2,Creatures engaged with the caster lose all Elemental Types.,"Isolated from the embrace of the universe, Heptadd felt alone, empty and - for the first time - afraid.",,,
Battlesong of Renewal,AU,Common,169,OverWorld,1,Caster heals 25 Damage.,The search for the Cothica is also a search into yourself. You cannot find one without the other.,,,
Bonding Battlesong,AU,Rare,185,Mipedian,1,"When target opposing Creature heals or gains Energy from a Mugic or activated ability, the caster of this Mugic also heals or gains that much Energy. ",,,,
Consuming Cacophony,AU,Super Rare,175,UnderWorld,2,"Deal 20 damage to target Creature. If the caster of this Mugic has Fire, deal an additional 10 damage.",Flames feed upon flames in a voracious conflagration.,,,
Counterpoint of Chaos,AU,Rare,176,UnderWorld,1,Target Creature cannot gain Elemental Types.,"Once again, ""Mugic Tester"" ranked as the second most dangerous job in Perim... just behind Chaor's sparring partner.",,,
Decomposition,AU,Rare,177,UnderWorld,1,Target Creature fails all Discipline checks on attacks it plays.,"His strength faltered 
His bravery waned 
His feet dragged 
As we went insane",,,
Diminuendo,AU,Common,164,Generic,1,Target Creature loses 5 Energy and 5 to all Disciplines.,"Aivenna dug deep, willing herself to keep fighting... but her body had nothing left to give.",,,
Dischord of Flame,AU,Common,165,Generic,1,"Target Creature gains Fire. If that Creature already has Fire, it gains ""Fire 5"" instead.","The grey coat of ash choked the petals, wilting the leaves, wilting the soul.",,,
Elemental Counterpoint,AU,Common,180,Danian,1,Target attack deals 10 less damage for each Elemental Type that attack has.,"""You call that a Pebblestorm?! That was more like a Pebblebreeze!"" 
—Wamma",,,
Elemental Denial,AU,Uncommon,73,UnderWorld,x,Target Creature loses X Elemental Types of your choice.,Some believe the Cothica and nature are irrevocably linked... understand one and rule the other!,,,
Empowering Encore,AU,Rare,181,Danian,1,Target Creature gains all Elemental Types Creatures in your discard pile have.,"""As long as you believe that the impossible is only what has yet to be accomplished, everything is possible."" 
—Lore",,,
Fluid Fugue,AU,Super Rare,170,OverWorld,2,"Heal 25 damage to target Creature. If the caster of this Mugic has Water, that Creature also gains a Mugic counter.",Seven notes... infinite possibilities.,,,
Gear Glissando,AU,Common,83,Mipedian,1,Flip target Battlegear face-up or face-down.,Most Muges believe that the problem with machines is that they exist at all.,,,
Harmonics of Water,AU,Common,166,Generic,1,"Target Creature gains Water. If that Creature already has Water, it gains ""Water 5"" instead.","And with one final wave, the flood washed away all remaining traces of the now-forgotten civilization.",,,
Howl of the Wind,AU,Common,167,Generic,1,"Target Creature gains Air. If that Creature already has Air, it gains ""Air 5"" instead.","The tornado ripped across the fields, destroying the harvest, starving the land.",,,
Interlude of Interruption,AU,Rare,171,OverWorld,1,Negate target Mugic unless the Creature that played it pays an additional Mugic counter.,"When the Mugicians sing, all of Perim is blessed.",,,
Rocky Refrain,AU,Super Rare,182,Danian,2,"Target engaged Creature gains 5 Energy for each Elemental Type the opposing engaged Creature has. If the caster of this Mugic has Earth, the target Creature gains an additional 5 Energy for each Elemental Type the opposing engaged Creature has.",,,,
Searing Symphony,AU,Rare,178,UnderWorld,1,Deal 10 damage to target Creature for each Elemental Type it has.,The rain not only nourishes but drowns. The embers warm as well as burn.,1,,
Silent Requiem,AU,Rare,186,Mipedian,1,Negate target Mugic or ability that targets a Creature with Invisibility.,"Unseen, unheard, unhittable... unbeatable!",,,
Sonata of Storms,AU,Super Rare,187,Mipedian,2,"Target Creature gains ""Range"" and ""Swift 3."" If the caster of this Mugic has Air, that Creature also gains ""Invisibility: Surprise.""","As the thief sped away, Gespedan blamed himself for leaving the battle plans out in the open.",,,
Song of the Dyad,AU,Common,80,OverWorld,1,"Choose one: 
Heal 10 damage to target Creature.
Deal 10 damage to target Creature.",What brings happiness to one brings pain to another.,,,
Song of Elemental Attunement,AU,Rare,172,OverWorld,1,Target Creature gains all of its Scanned Elemental Types.,"""As ice, liquid and vapor are different forms of water, the four elements are simply different forms of nature."" 
—Intress",,,
Song of Translocation,AU,Rare,188,Mipedian,1,Relocate target Creature you control to any unoccupied space on the Battleboard.,"""There's no shame in losing a fight. There's only shame in losing your life."" 
—Headmaster Ankhyja",,,
Swartbron Battlesong,AU,Rare,168,M'arrillian,3,"If the caster is engaged, the opposing engaged Creature and the caster each gain Energy equal to their lowest Discipline.","In a maddening gyre, delving into the secrets of Mugic only reveals more secrets.",,,
Symphony of Shielding,AU,Rare,173,OverWorld,2,Target attack or Mugic deals 0 damage.,"As Maxxor fearlessly charged through the rain of flaming arrows, he added another tale to his legend.",,,
Unbalancing Battlesong,AU,Rare,183,Danian,1,Caster gains 15 Energy and Creatures engaged with caster lose 15 Energy.,"""Mugic is older than time and stronger than power. It will outlast us all."" 
—Tharc",,,
Najarin's Tower of Song,LR,Ultra Rare,17,OverWorld,3,"Deal 20 damage to target Creature on your side of the Battleboard.
That Creature's controller discards a random Mugic Card from his or her hand.",,,,
Ulmar's Activating Arpeggio,LR,Uncommon,18,UnderWorld,1,Flip target face-down Battlegear face-up. Destroy that Battlegear at the start of the next turn.,,1,,
Fortissimo,OP1,Super Rare,17,Generic,1,"Target Creature gains 5 Courage, Power, Wisdom, Speed, and Energy.","""The Cothica existed before the beginning. It will survive long past our end."" 
—Najarin",,,
Song of Transportation,BR,Uncommon,,Mipedian,1,Turn the top card of your Location Deck face up. This becomes the new active location,The shortest distance between two points is not always a straight line,,,
Swarm song,BR,Rare,,Danian,1,Deal 15 damage to target Creature.,"The insects eclipsed the sun, turning day into night",,,
