name,set,rarity,id,ability,Flavor Text,Unique,Loyal,Legendary,Past,Shard,Artist
Trident of Treachery,AU,Rare,158,"If equipped Creature would deal 20 or more Fire attack damage, it may deal 10 damage to target Creature instead.",,,,,1,,Stone Perales
Ulmanator,AU,Rare,159,Creatures engaged with equipped Creature have 10 less to all Disciplines for each Elemental Type they have.,,,,,,,HotShotsVFX
Varanohs,AU,Rare,160,"Equipped Creature has ""Range"" and ""Swift 1"" for each Creature in your discard pile.
This Battlegear begins the game face-up.",,,,,1,,Stone Perales
"Vlaric Shard, Relic of the Past",AU,Rare,161,"Equipped Creature with Earth deals an additional 5 attack damage.
When you shuffle your Attack Deck, destroy Vlaric Shard.",,,,,1,,Stone Perales
Xerium Armor,AU,Ultra Rare,162,"If equipped Creature would take more than 20 damage from an attack, it takes 20 damage instead.",,1,,,,,"Khary Randolph, Etienne St.Laurent"
Armor of Earthen Might,FAS,Rare,23,"Equipped Creature with Earth takes 10 less damage from Mugic and activated abilities.
This Battlegear begins the game face-up.",,,,,,,Stone Perales
Droskin,OP1,Promo,81,Sacrifice Droskin: Negate target attack. Play this ability only if the equipped Creature is engaged.,The Droskin is rumored to be able to absorb even the most devastating attacks.,1,,,,,"Jimmy Tran, Imaginary Friends Studios"
The Indigo Arc,OP1,Promo,65,"Equipped Creature's first attack each combat has ""Untargetable.""",The blade cuts with such force that neither armor nor Mugic can slow its strikes.,1,,,,,HotShotsVFX
Flux Bauble,OP1,Rare,14,"At the beginning of combat, look at the top two cards of your Location Deck. Put one of them on top of that deck and the other on the bottom.",,,,,,,Imaginary Friends Studios
Orb of Foresight,OP1,Rare,15,"At the beginning of combat, look at the top three cards of your Attack Deck. Put one of them on top of that deck and the other two on the bottom in any order.",,,,,,,Imaginary Friends Studios
Talisman of the Mandiblor,OP1,Super Rare,16,"Equipped Creature has an additional 15 Speed.
If equipped Creature is Danian, it has ""Sacrifice this Creature: Return a Mandiblor from your general discard pile to play in any open space.""",,,,,,,Imaginary Friends Studios
Bodal's Element Converter,LR,Rare,13,"Equipped Creature has ""Fire 5"" and ""Water 5.""
When equipped Creature deals 25 or more damage with a single attack, flip Bodal's Element Converter face-down.",,,,,,,Imaginary Friends Studios
Kha'rall Shard of Chance,LR,Super Rare,14,"Equipped Creature has an additional 5 Energy and Air.
While equipped Kha'rall is engaged, Creatures play attacks at random.",,,,,,1,Imaginary Friends Studios
Mommark's Energy Infuser,LR,Ultra Rare,15,"At the beginning of combat, equipped Creature gains 5 Energy for each Mugic counter on it. The equipped Creature may gain no more than 40 Energy this way.
If equipped Creature has no Mugic counters, destroy it.",,1,,,,,Imaginary Friends Studios
Olkiex' Apron,LR,Uncommon,16,"Equipped Creature has ""When this Creature becomes engaged, flip the opposing engaged Creature's Battlegear face‐down.""",,,,,,,Imaginary Friends Studios
